F,H
"0:0:29,0:0:39","0:0:3,0:0:13"
"0:2:03,0:2:12","0:0:14,0:0:22"
"0:2:29,0:2:37","0:0:23,0:0:32"
"0:3:16,0:3:23","0:0:33,0:0:41"
"0:8:21,0:8:29","0:0:48,0:0:56"
"0:10:37,0:10:46","0:0:56,0:1:06"
"0:12:0,0:12:8","0:1:07,0:1:14"
"0:13:6,0:13:15","0:1:26,0:1:36"
"0:14:42,0:14:51",
"0:15:54,0:16:01",
"0:19:34,0:19:40",
"0:20:26,0:20:34",
"0:25:35,0:25:40",
"0:28:02,0:28:06",
"0:29:09,0:29:15",
"0:29:27,0:29:33",
"0:30:43,0:30:50",
"0:31:51,0:31:57",
"0:34:26,0:34:32",
"0:34:56,0:35:02",
"0:35:19,0:35:26",
"0:36:08,0:36:16",
"0:37:56,0:38:03",
"0:39:02,0:39:06",
"0:39:56,0:40:03",
"0:43:54,0:43:59",
"0:45:09,0:45:19",
"0:46:04,0:46:12",
"0:48:53,0:49:00",
"0:49:16,0:49:25",
"0:49:41,0:49:49",
"0:50:00,0:50:07",
"0:50:57,0:51:06",
"0:52:28,0:52:36",
"0:56:00,0:56:09",
"0:56:18,0:56:26",
"0:56:48,0:56:56",
"0:58:15,0:58:23",
"1:00:54,1:01:01",
"1:01:04,1:01:11",
"1:01:35,1:01:42",
"1:01:54,1:02:00",
"1:02:07,1:02:14",
"1:02:22,1:02:31",
